Preis_in_Euro,Kilometerstand_in_km,Hubraum_in_cm3,Leistung_in_PS,Kraftstoffart,Getriebe,Erstzulassung,HU
6600          , 130200               , 1968           , 140            , Diesel        , Schaltgetriebe , Nov06         , Nov17
9490          , 109210               , 1598           , 105            , Diesel        , Schaltgetriebe , Feb12         , Mrz19
23250         , 64000                , 1984           , 310            , Benzin        , Automatik      , Mrz13         , Mrz18
21950         , 17500                , 1395           , 125            , Benzin        , Automatik      , Aug16         , Neu
1099          , 192228               , 1390           , 75             , Benzin        , Schaltgetriebe , Jun99         , Nov18
3850          , 146177               , 1896           , 101            , Diesel        , Schaltgetriebe , Sep03         , Sep19
17200         , 73248                , 1984           , 220            , Benzin        , Automatik      , Jul13         , Okt19
44000         , 8000                 , 1984           , 300            , Benzin        , Automatik      , Jul16         , Jul19
12480         , 80000                , 1598           , 105            , Diesel        , Schaltgetriebe , Mrz14         , Mrz19
3500          , 190000               , 1899           , 90             , Diesel        , Schaltgetriebe , Mai05         , Mai19
950           , 211000               , 1896           , 90             , Diesel        , Schaltgetriebe , Jan99         , Jan18
7485          , 97500                , 1390           , 140            , Benzin        , Schaltgetriebe , Apr08         , Neu
13970         , 24180                , 1390           , 122            , Benzin        , Schaltgetriebe , Apr13         , Neu
22870         , 15400                , 1395           , 150            , Benzin        , Schaltgetriebe , Mai16         , Neu
22370         , 16400                , 1395           , 150            , Benzin        , Schaltgetriebe , Mai16         , Neu
3250          , 182000               , 1400           , 75             , Benzin        , Schaltgetriebe , Okt05         , Jan19
7490          , 149600               , 1984           , 200            , Benzin        , Schaltgetriebe , Mai05         , Neu
14800         , 44000                , 1395           , 122            , Benzin        , Schaltgetriebe , Mai13         , Apr18
15489         , 81992                , 1968           , 150            , Diesel        , Schaltgetriebe , Sep12         , Neu
26800         , 9943                 , 1984           , 230            , Benzin        , Schaltgetriebe , Nov16         , Nov19
4300          , 123500               , 1968           , 140            , Diesel        , Automatik      , Nov10         , Nov18
14890         , 35252                , 1197           , 110            , Benzin        , Schaltgetriebe , Feb15         , Neu
23999         , 9100                 , 1984           , 235            , Benzin        , Automatik      , Jul12         , Jul18
